,Unnamed: 0,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents,GVRate,LogPop,LogHousingPrice,LogPopDensity
7638,7638,la,angie,1.0,1.0,0.16666666666666666,0.16666666666666666,251.0,123.0,1.5400000000000005,1.530000000000001,163.89999999999986,80.30000000000007,85331.46,6,0.005624560581204593,2.399673721481038,4.931109176366486,2.2145789535704985
7863,7863,la,oilcity,2.0,1.0,0.0392156862745098,0.0196078431372549,1008.0,477.0,1.8499999999999968,1.780000000000001,565.5,267.59999999999974,85039.15909090909,51,0.011904761904761904,3.0034605321095067,4.929618957018726,2.752432609261474
8261,8261,ma,wellesley,0.0,0.0,0.0,0.0,27982.0,9189.0,10.519999999999989,10.019999999999989,2793.399999999997,917.3000000000017,1315980.3265306123,2,1.6817533960907643e-05,4.446878752254525,6.119249396768012,3.4461331288103625
8274,8274,ma,weston,0.0,1.0,0.0,1.0,11261.0,4008.0,17.33000000000001,16.820000000000018,669.2999999999995,238.2000000000001,1468996.755102041,1,2.0894602401834545e-05,4.051576958472539,6.167020836469062,2.8256208250035
8463,8463,md,littleorleans,1.0,2.0,1.0,2.0,42.0,37.0,0.7100000000000005,0.6999999999999998,59.699999999999974,52.59999999999996,125665.69387755102,1,0.0056022408963585435,1.6232492903979006,5.099216733587614,1.775974331129369
8578,8578,md,uppermarlboro,20.0,9.0,0.5714285714285714,0.2571428571428571,631.0,310.0,0.42999999999999977,0.3999999999999996,1563.5,768.0999999999991,229185.79032258067,35,0.013051179267269506,2.8000293592441343,5.360187687571977,3.194097885578952
9195,9195,mi,flint,158.0,361.0,0.25119236883942764,0.5739268680445151,102434.0,51321.0,34.0499999999996,33.41999999999967,3065.3999999999664,1535.8000000000168,20155.46899841017,629,0.0014448327703692134,5.0104441320454605,4.304392908222227,3.4864871530659025
9953,9953,mn,hillman,0.0,0.0,0.0,0.0,38.0,18.0,0.5500000000000004,0.5500000000000004,69.30000000000005,32.799999999999976,206169.77551020405,1,0.006191950464396284,1.5797835966168101,5.3142249980413405,1.840733234611807
10131,10131,mn,myrtle,0.0,0.0,0.0,0.0,48.0,36.0,0.11000000000000004,0.11000000000000004,453.20000000000033,339.89999999999975,40241.061224489786,1,0.004901960784313725,1.6812412373755872,4.604669425275077,2.65628990119136
10755,10755,mo,harwood,0.0,0.0,0.0,0.0,47.0,34.0,0.11000000000000004,0.11000000000000004,447.20000000000033,323.5,56197.551020408166,1,0.0050062578222778474,1.6720978579357175,4.74971739027552,2.6505017948783673
